access,from,from_i,start_time,stop_time,to,to_i
231,S1,1,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S2,2
232,S2,2,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S1,1
233,S1,1,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S2,2
234,S2,2,2019-06-21 05:26:16.926,2019-06-21 05:38:03.186,S1,1
235,S2,2,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S1,1
236,S2,2,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S1,1
237,S1,1,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S2,2
238,S1,1,2019-06-21 06:13:39.652,2019-06-21 06:25:26.059,S2,2
239,S2,2,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S1,1
240,S1,1,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S2,2
241,S1,1,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S2,2
242,S2,2,2019-06-21 07:01:07.561,2019-06-21 07:12:53.816,S1,1
243,S1,1,2019-06-21 07:18:56.805,2019-06-21 07:28:11.139,SAA,4
244,S2,2,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S1,1
245,S1,1,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S2,2
246,S2,2,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S1,1
247,S1,1,2019-06-21 07:48:30.280,2019-06-21 08:00:16.690,S2,2
248,S2,2,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S1,1
249,S1,1,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S2,2
250,S1,1,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S2,2
251,S2,2,2019-06-21 08:35:58.190,2019-06-21 08:47:44.446,S1,1
252,S2,2,2019-06-21 08:51:30.293,2019-06-21 09:03:00.084,SAA,4
253,S1,1,2019-06-21 08:52:03.172,2019-06-21 09:03:02.127,SAA,4
254,S1,1,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S2,2
255,S2,2,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S1,1
256,S2,2,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S1,1
257,S1,1,2019-06-21 09:23:20.907,2019-06-21 09:35:07.321,S2,2
258,S1,1,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S2,2
259,S1,1,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S2,2
260,S2,2,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S1,1
261,S2,2,2019-06-21 10:10:48.823,2019-06-21 10:22:35.075,S1,1
262,S1,1,2019-06-21 10:26:47.621,2019-06-21 10:37:36.280,SCL,3
263,S2,2,2019-06-21 10:27:08.309,2019-06-21 10:34:04.817,SAA,4
264,S2,2,2019-06-21 10:27:39.365,2019-06-21 10:35:26.397,SCL,3
265,S1,1,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S2,2
266,S2,2,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S1,1
267,S2,2,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S1,1
268,S1,1,2019-06-21 10:58:11.540,2019-06-21 11:09:57.955,S2,2
269,S1,1,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S2,2
270,S2,2,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S1,1
271,S2,2,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S1,1
272,S1,1,2019-06-21 11:45:39.455,2019-06-21 11:57:25.701,S2,2
273,S2,2,2019-06-21 12:00:02.965,2019-06-21 12:11:28.144,SCL,3
274,S1,1,2019-06-21 12:00:56.661,2019-06-21 12:10:55.026,SCL,3
275,S1,1,2019-06-21 12:22:12.537,2019-06-21 12:30:33.871,CAL,5
276,S2,2,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S1,1
277,S2,2,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S1,1
278,S1,1,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S2,2
279,S1,1,2019-06-21 12:33:02.168,2019-06-21 12:44:48.589,S2,2
280,S1,1,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S2,2
281,S2,2,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S1,1
282,S1,1,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S2,2
283,S2,2,2019-06-21 13:20:30.084,2019-06-21 13:32:16.328,S1,1
284,S2,2,2019-06-21 13:37:22.627,2019-06-21 13:40:13.221,SCL,3
285,S2,2,2019-06-21 13:53:52.612,2019-06-21 14:05:06.561,CAL,5
286,S1,1,2019-06-21 13:54:05.427,2019-06-21 14:05:33.718,CAL,5
287,S2,2,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S1,1
288,S2,2,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S1,1
289,S1,1,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S2,2
290,S1,1,2019-06-21 14:07:52.799,2019-06-21 14:19:39.222,S2,2
291,S2,2,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S1,1
292,S1,1,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S2,2
293,S2,2,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S1,1
294,S1,1,2019-06-21 14:55:20.718,2019-06-21 15:07:06.958,S2,2
295,S2,2,2019-06-21 15:29:01.623,2019-06-21 15:38:10.611,CAL,5
296,S1,1,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S2,2
297,S1,1,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S2,2
298,S2,2,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S1,1
299,S2,2,2019-06-21 15:42:43.428,2019-06-21 15:54:29.853,S1,1
300,S1,1,2019-06-21 19:25:00.047,2019-06-21 19:36:19.655,SAA,4
301,S2,2,2019-06-21 19:25:53.777,2019-06-21 19:35:11.268,SAA,4
302,S2,2,2019-06-21 20:58:33.057,2019-06-21 21:09:44.933,SAA,4
303,S1,1,2019-06-21 21:00:24.456,2019-06-21 21:09:02.648,SAA,4
